models,oxide_main_minion,oxide_main_sat
models/allsolvers/testo.essence,-2.0,-2.0
models/allsolvers/test.essence,-2.0,-2.0
models/xyz/input.essence,-2.0,-2.0
models/parser_tests/dominance_rfc.essence,-2.0,-2.0
models/parser_tests/dominance_twice.essence,-2.0,-2.0
models/parser_tests/dominance_simple.essence,-2.0,-2.0
models/parser_tests/no_dominance.essence,-2.0,-2.0
models/experiment/works/max2/input.essence,-2.0,-2.0
models/parse_print/parsing01/parsing01.essence,-2.0,-2.0
models/parse_print/parsing03_nonassoc/nonassoc.essence,-2.0,-2.0
models/parse_print/parsing02/parsing02.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/f62f9ea8b0746be5eaea19e9cede8737/f62f9ea8b0746be5eaea19e9cede8737.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/0fdee1fae5a38b16267d42b6c9b61bf3/0fdee1fae5a38b16267d42b6c9b61bf3.eprime.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/650f60c017f90e0781f3478942261393/650f60c017f90e0781f3478942261393.eprime-solution.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/bc45b8d80af7b0427721713bfe2f97c3/bc45b8d80af7b0427721713bfe2f97c3.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/741c831781c1130b77698ac0a8e39bac/741c831781c1130b77698ac0a8e39bac.param.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/37b6d848c391d03c123e6e8c55e6b822/37b6d848c391d03c123e6e8c55e6b822.eprime.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/b79d93a39401f5435ba6a518c8db0821/b79d93a39401f5435ba6a518c8db0821.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/c94c721e03e88dc01a16fa9b0b3b7431/c94c721e03e88dc01a16fa9b0b3b7431.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/951d3c18901f9994c032518bb08cd59c/951d3c18901f9994c032518bb08cd59c.eprime.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/f7faf3149f0cc222402ea4da0e2865f1/f7faf3149f0cc222402ea4da0e2865f1.eprime.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/0d757bbc1bf600cc00cccc23dd0dbabb/0d757bbc1bf600cc00cccc23dd0dbabb.eprime.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/93284da4a4bcb0b65f9af4e148349956/93284da4a4bcb0b65f9af4e148349956.eprime.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/1191a8fe91feb6b1ae455420e223bf6e/1191a8fe91feb6b1ae455420e223bf6e.eprime.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/e938482d4eff3413375a9a4f1f09648c/e938482d4eff3413375a9a4f1f09648c.eprime.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/982885c091c3f3c10bce2fa43eb09375/982885c091c3f3c10bce2fa43eb09375.eprime-solution.essence,-2.0,-2.0
models/parse_print/autogen-bilals-fixed/635d068c0ed6bbf9ed532bcb7160ca5b/635d068c0ed6bbf9ed532bcb7160ca5b.eprime.essence,-2.0,-2.0
