,model,oxide_main_minion,conjure,oxide_main_sat,oxide_main_sat_direct,oxide_main_sat_order,oxide_main_treemorph
0,models/basic/flatten/02-with-depth/input.essence,-1.0,-1.0,-1.0,,,
1,models/allsolvers/test.essence,-1.0,0.6833757589338347,-1.0,,,
2,models/basic/bool/01/bool-01.essence,0.06811386009212583,0.6413999840151519,0.041818964993581176,,,
3,models/basic/bool/02/bool-02.essence,0.0719959590351209,0.6248100439552218,0.040919446968473494,,,
4,models/allsolvers/testo.essence,-1.0,0.7506136379670352,-1.0,,,
5,models/basic/bool/03/bool-03.essence,0.07862877601291984,0.6563354149693623,0.05183158302679658,,,
6,models/basic/bool/04/bool-04.essence,0.06965563900303096,0.6398521910887212,-1.0,,,
7,models/basic/div/01/input.essence,0.07996256102342159,0.6890657750191167,-1.0,,,
8,models/basic/div/02/input.essence,0.068291460047476,0.6666820449754596,-1.0,,,
9,models/basic/div/03/input.essence,0.06948967697098851,0.6817192289745435,-1.0,,,
10,models/basic/div/04/input.essence,0.07873184501659125,0.6874303489457816,-1.0,,,
11,models/basic/div/05/div-05.essence,0.07958553091157228,0.7118335219565779,-1.0,,,
12,models/basic/flatten/01-no-depth/flatten.essence,0.0861885950434953,0.7430479270406067,-1.0,,,
13,models/basic/div/06/div-06.essence,0.07908260100521147,0.713535851915367,-1.0,,,
14,models/basic/min/01/input.essence,0.08300944499205798,0.7309174200054258,0.08917584910523146,,,
15,models/basic/max/02/input.essence,0.08008222503121942,0.7186731359688565,0.08399431500583887,,,
16,models/basic/min/02/input.essence,0.08112444507423788,0.7408134560100734,0.0924005270935595,,,
17,models/basic/min/03/input.essence,0.07897845096886158,0.7171229301020503,0.09688440093304962,,,
18,models/basic/min/04/input.essence,0.07133549591526389,0.6960836809594184,0.09714946895837784,,,
19,models/basic/min/05/input.essence,0.08095859200693667,0.7324708789819852,0.11421493405941874,,,
20,models/basic/mod/02/input.essence,0.058923407923430204,0.7252618200145662,-1.0,,,
21,models/basic/mod/01/input.essence,0.07840940996538848,0.7256839579204097,-1.0,,,
22,models/basic/mod/05/mod-05.essence,0.0815686589339748,0.7278909110464156,-1.0,,,
23,models/basic/mod/03/input.essence,0.07860621099825948,0.7561014870880172,-1.0,,,
24,models/basic/mod/04/input.essence,0.08081712201237679,0.7492155539803207,-1.0,,,
25,models/basic/mod/06/mod-06.essence,0.08112800598610193,0.728820186923258,-1.0,,,
26,models/basic/record/01-records/input.essence,0.11367480992339551,0.7394659980200231,-1.0,,,
27,models/basic/sum/01-deeply-nested/input.essence,0.08226554200518876,0.7326611169846728,0.08895536500494927,,,
28,models/basic/toInt/toInt.essence,0.07581745192874223,0.7123944679042324,-1.0,,,
29,models/basic/tuples/01-bool-int/input.essence,0.08001745794899762,0.730390323093161,-1.0,,,
30,models/basic/toInt-flatten/toInt-flatten.essence,0.07512545795179904,0.7310132969869301,-1.0,,,
31,models/basic/tuples/02-literal-indexing/input.essence,0.07582267606630921,0.6988041760632768,-1.0,,,
32,models/basic/tuples/03-equality/input.essence,0.07919664494693279,0.7597662199987099,-1.0,,,
33,models/basic/tuples/05-equal-to-constant/input.essence,0.07502246904186904,0.7478220940101892,-1.0,,,
34,models/basic/tuples/04-inequality/input.essence,0.08434304199181497,0.7385705859633163,-1.0,,,
35,models/bugs/issue-336-empty-or-should-be-false/input.essence,0.07200989301782101,0.750519527005963,-1.0,,,
36,models/bugs/sm600-non-terminating-min/input.essence,0.07654020795598626,0.7310601680073887,0.12861564999911934,,,
37,models/custom/STARIS_2022/basic/arithmetic-operators/product-type-error/product.essence,-1.0,-1.0,-1.0,,,
38,models/bugs/yb33-min-of-constants-parses-as-nothing/input.essence,0.08697225106880069,0.7507169409655035,0.08101253001950681,,,
39,models/cnf/cnf2/bool2.essence,0.0906295059248805,0.7280640980461612,0.06603797699790448,,,
40,models/cnf/cnf1/bool1.essence,0.08520101895555854,0.7277758620912209,0.05189316102769226,,,
41,models/cnf/implication1/input.essence,0.07129666395485401,0.7410134039819241,0.06412569200620055,,,
42,models/cnf/integer/01-lt/input.essence,0.077171302982606,0.7023273840313777,0.06821221602149308,,,
43,models/cnf/implication2/input.essence,0.07622890500351787,0.7078107669949532,0.052775494987145066,,,
44,models/custom/STARIS_2022/basic/enum-spaces-error/enum-spaces.essence,-1.0,-1.0,-1.0,,,
45,models/cnf/integer/02-add/input.essence,0.07829758198931813,0.7275706420186907,0.11900308099575341,,,
46,models/cnf/integer/03-ranges/input.essence,0.06805990706197917,0.7286831870442256,0.11007155803963542,,,
